" Emigraciones a otras CC.AA."

,Número de variaciones
Año,Sum
"2005",       33388
"2006",       37053
"2007",       41166
"2008",       36363
"2009",       34250
"2010",       34360
"2011",       36195
"2012",       34766
"2013",       33797
"2014",       33074
"2015",       33974
"2016",       31647
"2017",       31404
"2018",       32453
"2019",       32758

