" Población Total por Edades y Sexo"

"SEXO",,"VARON","MUJER","TOTAL",
,,POBLACION,POBLACION,POBLACION
FECHA,EDAD,Sum,Sum,Sum
," 106",           1,   6.1163062,   7.1163062
," 107",           1,   1.9917958,   2.9917958
," 108",           .,    1.002886,    1.002886
," 110",           .,   1.0618154,   1.0618154
," 111",   1.0076923,   3.0971854,   4.1048777
," 113",   0.9870048,    1.002886,   1.9898908
," 114",           .,           1,           1
," 115",           .,   0.9794303,   0.9794303
," 117",   2.1157452,           .,   2.1157452
," 118",   1.0814486,   1.1015653,   2.1830139

"1998","   0",6458.2761501,6054.5026907,12512.778841
,"   1",7677.6613245,7399.0143522,15076.675677
,"   2",9004.7527858,8591.2664375,17596.019223
,"   3",9375.2662691,8623.9860321,17999.252301
,"   4",9799.4380512,9317.2014524,19116.639504
,"   5",10348.749477,9683.6165253,20032.366002
,"   6", 10641.00841,9850.9543331,20491.962743
,"   7",10748.120712,10402.884902,21151.005614
,"   8",11231.853351,10867.796385,22099.649736
,"   9",11688.583841,10762.870343,22451.454184
,"  10",11842.573002,11483.838286,23326.411288
,"  11",12601.707116,11850.166958,24451.874074
,"  12",13421.392242,12494.744732,25916.136974
,"  13", 14080.24453,13311.488332,27391.732861
,"  14",14468.406509,13701.819142, 28170.22565
,"  15", 15414.93806,14636.021962,30050.960022
,"  16",16235.296359,15242.578528,31477.874887
,"  17",17217.364702,16053.033635,33270.398336
,"  18", 17684.19994,16961.319721,34645.519661
,"  19",18846.782318,17838.037348,36684.819666
,"  20",18899.042711, 17940.49953,36839.542241
,"  21",19628.020085,18838.550527,38466.570612
,"  22",19286.731042,18494.028998, 37780.76004
,"  23",19267.760415,18583.800838,37851.561253
,"  24",18963.141158, 18235.13935,37198.280508
,"  25",19105.457927,18217.251853,37322.709779
,"  26",19130.819036,18045.329466,37176.148502
,"  27",18870.888896,18010.978151,36881.867047
,"  28",19112.782911,18207.979896,37320.762807
,"  29",18844.974485,18098.295936,36943.270421
,"  30",18997.064392,18437.381413,37434.445806
,"  31",18874.960299,18372.079504,37247.039803
